ride_id,timestamp,pickup_zone,vehicle_type,hour,is_weekend,weather_severity,traffic_index,distance_km,ride_duration_min,demand,available_drivers,demand_supply_ratio,surge_multiplier,trip_cost
R0000030,2025-04-09 17:13:00,Central,Comfort,10,1,0.075,1.843,13.546,45.215,88,41,2.1463,1.4815,62.99
R0000031,2025-06-23 03:26:00,University,Economy,5,0,0.528,1.607,12.185,49.616,33,45,0.7333,1.0,32.92
R0000032,2025-07-20 18:17:00,North,Economy,2,0,0.965,1.289,7.511,21.458,39,38,1.0263,1.0111,14.65
R0000033,2025-08-28 17:23:00,University,Economy,13,0,0.56,1.198,11.742,33.891,44,52,0.8462,1.0,24.06
R0000034,2025-09-11 20:51:00,North,Comfort,21,1,0.058,1.347,4.938,18.535,68,42,1.619,1.26,21.51
R0000035,2025-01-19 09:23:00,Central,Economy,1,0,0.161,1.095,8.756,24.468,53,50,1.06,1.0252,19.89
R0000036,2025-06-23 17:28:00,University,Comfort,20,0,0.043,1.569,7.539,23.469,63,38,1.6579,1.2763,26.91
R0000037,2025-07-11 15:13:00,South,Economy,19,0,0.494,1.799,8.997,27.381,66,41,1.6098,1.2561,28.75
R0000038,2025-11-10 19:01:00,Central,Economy,6,0,0.844,1.081,2.866,10.652,71,46,1.5435,1.2283,11.26
R0000039,2025-05-28 22:03:00,Airport,Comfort,15,0,0.283,1.087,21.722,63.749,43,45,0.9556,1.0,53.98
R0000040,2025-10-16 23:52:00,Airport,Economy,3,0,0.423,1.185,18.919,60.758,60,42,1.4286,1.18,44.53
R0000041,2025-09-22 18:22:00,Central,Comfort,18,1,0.421,1.967,4.127,16.694,79,33,2.3939,1.5855,26.39
R0000042,2025-06-08 14:15:00,Central,Economy,16,1,1.609,1.571,10.671,37.815,65,41,1.5854,1.2459,37.97
R0000043,2025-11-20 02:23:00,South,Economy,8,0,0.728,1.909,3.429,13.094,57,36,1.5833,1.245,14.62
R0000044,2025-02-05 20:57:00,Central,Economy,1,1,0.643,1.247,8.135,26.189,60,38,1.5789,1.2432,22.62
R0000045,2025-01-13 02:02:00,Airport,Premium,23,1,1.407,1.176,2.322,6.611,62,53,1.1698,1.0713,13.22
R0000046,2025-08-28 08:28:00,Central,Economy,10,0,0.107,1.7,6.615,22.859,74,44,1.6818,1.2864,24.52
R0000047,2025-04-09 00:09:00,North,Economy,21,0,0.719,1.54,5.94,19.046,56,40,1.4,1.168,16.64
R0000048,2025-04-10 16:43:00,University,Comfort,16,1,0.338,1.024,14.676,47.688,43,43,1.0,1.0,43.74
R0000049,2025-08-25 14:31:00,North,Premium,18,0,1.788,2.192,19.446,76.725,58,36,1.6111,1.2567,134.74
R0000050,2025-07-16 06:35:00,Airport,Comfort,18,1,1.416,1.902,19.689,68.706,85,33,2.5758,1.6618,113.98
R0000051,2025-12-16 00:27:00,South,Comfort,4,0,0.338,1.102,14.688,45.935,34,50,0.68,1.0,40.87
R0000052,2025-05-22 17:17:00,University,Economy,8,0,0.45,1.695,8.128,28.105,74,50,1.48,1.2016,17.93
R0000053,2025-12-14 13:25:00,Tech Park,Economy,11,1,0.206,1.02,9.617,29.457,69,35,1.9714,1.408,25.44
R0000054,2025-12-11 19:37:00,Tech Park,Comfort,11,0,1.237,0.835,9.592,27.375,52,57,0.9123,1.0,24.95
R0000055,2025-12-30 15:44:00,University,Comfort,1,0,1.021,0.956,4.059,16.397,50,35,1.4286,1.18,19.34
R0000056,2025-08-13 02:02:00,South,Comfort,13,0,0.475,1.197,14.589,45.402,35,39,0.8974,1.0,39.25
R0000057,2025-11-07 03:05:00,University,Comfort,3,0,0.47,0.919,11.354,35.438,39,41,0.9512,1.0,24.93
R0000058,2025-01-16 13:45:00,Airport,Comfort,17,0,0.369,1.597,11.647,42.751,69,51,1.3529,1.1482,42.93
R0000059,2025-02-13 01:54:00,Tech Park,Economy,16,0,1.701,1.085,2.215,5.077,54,50,1.08,1.0336,4.5
R0000060,2025-03-10 07:04:00,Tech Park,Economy,22,0,0.518,0.964,9.964,30.504,53,48,1.1042,1.0438,20.16
R0000061,2025-10-23 15:43:00,University,Premium,17,0,0.384,1.618,13.506,46.097,64,43,1.4884,1.2051,66.22
R0000062,2025-12-19 00:32:00,North,Economy,8,0,1.138,1.921,7.703,27.211,62,39,1.5897,1.2477,27.8
R0000063,2025-03-02 07:30:00,Tech Park,Economy,23,1,0.442,1.282,5.898,17.367,65,61,1.0656,1.0275,12.87
R0000064,2025-03-18 02:21:00,Central,Economy,9,0,1.272,1.647,3.672,15.973,66,36,1.8333,1.35,18.42
R0000065,2025-07-06 01:27:00,South,Comfort,7,0,2.015,1.968,3.53,20.455,76,40,1.9,1.378,30.84
R0000066,2025-05-05 06:26:00,Central,Comfort,21,0,0.297,1.347,8.456,26.745,78,44,1.7727,1.3245,32.83
R0000067,2025-07-28 21:15:00,South,Comfort,8,0,0.922,1.726,6.827,25.987,53,35,1.5143,1.216,28.97
R0000068,2025-12-21 08:43:00,Tech Park,Economy,1,1,0.295,1.225,6.775,23.123,65,45,1.4444,1.1867,19.1
R0000069,2025-08-17 14:54:00,Central,Economy,11,0,2.793,1.491,18.01,60.072,66,56,1.1786,1.075,47.95
R0000070,2025-11-17 00:44:00,Central,Economy,19,0,0.68,1.909,3.893,18.896,67,34,1.9706,1.4076,20.84
R0000071,2025-02-15 12:37:00,Central,Comfort,4,1,1.015,1.333,6.423,26.78,59,47,1.2553,1.1072,28.34
R0000072,2025-03-21 10:31:00,Tech Park,Economy,11,1,0.02,1.047,19.722,58.17,48,52,0.9231,1.0,32.96
R0000073,2025-10-05 22:53:00,Tech Park,Economy,3,1,0.364,1.021,6.543,24.404,52,41,1.2683,1.1127,18.16
R0000074,2025-03-18 18:14:00,Tech Park,Economy,16,1,0.106,0.923,8.056,23.132,63,35,1.8,1.336,20.24
R0000075,2025-01-26 13:52:00,Central,Economy,11,1,0.679,0.86,7.055,18.983,73,43,1.6977,1.293,21.81
R0000076,2025-08-08 01:43:00,Tech Park,Economy,7,0,2.087,1.693,11.452,41.146,75,38,1.9737,1.4089,46.79
R0000077,2025-12-16 16:25:00,Tech Park,Comfort,5,0,1.196,1.394,2.509,11.528,47,39,1.2051,1.0862,14.65
R0000078,2025-10-13 21:05:00,Airport,Economy,13,0,0.951,1.444,6.946,24.033,64,31,2.0645,1.4471,24.64
R0000079,2025-07-08 08:29:00,Central,Economy,16,0,0.388,0.875,8.004,25.486,67,49,1.3673,1.1543,14.96
R0000080,2025-09-06 04:50:00,North,Economy,22,0,0.15,1.039,4.486,15.158,37,33,1.1212,1.0509,10.72
R0000081,2025-04-29 18:30:00,Central,Economy,10,0,0.556,1.367,9.384,34.614,73,32,2.2812,1.5381,32.88
R0000082,2025-06-28 06:28:00,Airport,Economy,3,0,1.051,1.013,11.971,37.52,55,40,1.375,1.1575,30.41
R0000083,2025-03-14 06:28:00,Central,Comfort,19,1,0.206,1.634,9.96,39.117,83,39,2.1282,1.4738,51.73
R0000084,2025-08-07 16:00:00,Airport,Economy,15,1,1.187,1.12,20.668,61.665,62,37,1.6757,1.2838,54.19
R0000085,2025-12-04 05:57:00,Airport,Comfort,16,0,0.714,0.784,6.121,17.676,56,48,1.1667,1.07,17.8
R0000086,2025-04-07 07:17:00,Central,Economy,2,0,0.252,1.355,10.219,34.212,64,44,1.4545,1.1909,25.41
R0000087,2025-09-18 17:35:00,Tech Park,Comfort,7,0,0.07,1.554,10.093,33.642,69,34,2.0294,1.4324,41.31
R0000088,2025-05-02 11:15:00,South,Economy,18,0,0.103,1.37,6.824,21.218,56,39,1.4359,1.1831,18.75
R0000089,2025-07-23 01:32:00,North,Economy,19,1,0.536,1.67,14.489,52.603,67,33,2.0303,1.4327,56.71
R0000090,2025-06-19 15:54:00,Tech Park,Economy,10,1,1.524,1.81,9.102,35.625,78,43,1.814,1.3419,37.81
R0000091,2025-09-21 21:29:00,South,Economy,19,1,0.256,1.672,4.013,15.676,74,39,1.8974,1.3769,17.77
R0000092,2025-01-30 08:37:00,Central,Economy,20,1,1.689,1.793,11.738,45.781,89,41,2.1707,1.4917,57.03
R0000093,2025-11-12 13:21:00,Central,Comfort,9,1,0.057,1.617,5.902,19.284,80,44,1.8182,1.3436,24.9
R0000094,2025-03-11 15:40:00,Central,Economy,21,0,0.627,1.833,6.504,24.107,84,43,1.9535,1.4005,24.37
R0000095,2025-06-22 01:41:00,South,Premium,6,0,0.569,0.865,6.775,17.775,41,47,0.8723,1.0,22.81
R0000096,2025-05-23 11:36:00,North,Comfort,5,0,0.85,1.028,11.64,35.84,32,45,0.7111,1.0,35.67
R0000097,2025-12-18 02:39:00,North,Economy,16,0,0.703,1.278,14.062,46.67,45,40,1.125,1.0525,35.08
R0000098,2025-07-03 17:44:00,South,Comfort,15,0,0.382,0.97,7.116,24.903,41,39,1.0513,1.0215,22.68
R0000099,2025-03-25 16:45:00,University,Economy,3,0,0.386,1.055,6.895,19.225,41,48,0.8542,1.0,10.62
R0000100,2025-10-31 16:07:00,Central,Economy,19,1,1.302,1.7,2.52,11.125,76,35,2.1714,1.492,13.29
R0000101,2025-10-13 17:10:00,South,Economy,4,0,0.659,1.045,5.257,20.107,41,39,1.0513,1.0215,15.43
R0000102,2025-11-08 11:06:00,North,Comfort,19,1,0.018,1.465,4.615,14.501,72,39,1.8462,1.3554,18.87
R0000103,2025-08-20 22:19:00,Tech Park,Economy,0,1,0.424,0.85,9.218,24.335,53,51,1.0392,1.0165,16.97
R0000104,2025-06-22 08:32:00,Tech Park,Economy,19,0,0.463,1.716,7.324,23.952,49,38,1.2895,1.1216,22.28
R0000105,2025-12-31 22:25:00,Tech Park,Comfort,18,0,0.46,1.824,4.712,19.84,81,36,2.25,1.525,28.17
R0000106,2025-10-02 22:18:00,Central,Economy,18,0,1.15,1.725,8.448,29.612,92,46,2.0,1.42,31.3
R0000107,2025-11-08 12:13:00,North,Economy,15,0,0.325,1.229,7.484,25.715,42,51,0.8235,1.0,20.11
R0000108,2025-12-21 02:44:00,Tech Park,Economy,11,0,0.758,1.048,1.921,6.673,42,57,0.7368,1.0,4.96
R0000109,2025-12-27 14:53:00,North,Comfort,16,1,2.115,1.282,14.287,50.316,51,58,0.8793,1.0,52.31
R0000110,2025-02-26 06:58:00,University,Economy,6,0,1.532,1.35,13.545,46.54,46,52,0.8846,1.0,34.48
R0000111,2025-09-11 06:31:00,Central,Economy,18,0,0.294,1.68,6.815,23.434,62,52,1.1923,1.0808,18.63
R0000112,2025-11-07 09:24:00,North,Premium,13,0,0.677,1.102,9.43,28.997,46,46,1.0,1.0,35.3
R0000113,2025-07-29 21:08:00,North,Premium,11,0,1.001,1.302,6.495,23.737,52,49,1.0612,1.0257,31.67
R0000114,2025-12-22 12:40:00,North,Economy,12,0,0.136,0.793,3.214,7.904,43,53,0.8113,1.0,8.1
R0000115,2025-06-12 21:19:00,Tech Park,Economy,13,0,0.592,1.052,25.535,79.277,65,48,1.3542,1.1488,50.39
R0000116,2025-11-26 19:40:00,Central,Economy,0,0,0.518,1.267,11.733,37.636,62,49,1.2653,1.1114,31.1
R0000117,2025-06-06 18:09:00,South,Premium,3,0,1.469,1.438,13.031,45.917,40,42,0.9524,1.0,59.55
R0000118,2025-08-14 10:39:00,South,Economy,5,0,0.763,1.288,6.643,21.957,37,56,0.6607,1.0,18.49
R0000119,2025-09-19 12:47:00,Tech Park,Economy,2,0,0.514,1.276,14.43,45.582,64,41,1.561,1.2356,38.48
R0000120,2025-12-22 05:03:00,South,Economy,10,0,1.061,1.674,3.656,12.684,52,32,1.625,1.2625,18.04
R0000121,2025-02-25 15:43:00,University,Economy,16,0,1.665,0.993,6.787,24.952,44,51,0.8627,1.0,17.49
R0000122,2025-12-29 07:50:00,University,Economy,15,0,0.008,0.955,11.669,34.243,27,43,0.6279,1.0,25.24
R0000123,2025-04-09 10:38:00,Central,Comfort,11,0,0.313,1.171,5.503,25.035,53,59,0.8983,1.0,20.17
R0000124,2025-07-30 16:04:00,Tech Park,Economy,20,0,2.163,2.083,12.819,50.811,61,31,1.9677,1.4065,60.11
R0000125,2025-06-09 00:25:00,University,Economy,13,0,3.0,1.445,9.18,29.726,65,55,1.1818,1.0764,29.77
R0000126,2025-01-05 22:00:00,Central,Comfort,1,0,0.25,0.871,8.717,22.334,54,44,1.2273,1.0955,21.99
R0000127,2025-11-06 04:49:00,South,Economy,18,0,1.284,1.625,5.228,22.149,68,50,1.36,1.1512,16.7
R0000128,2025-03-18 16:55:00,Central,Economy,13,0,0.249,0.947,9.703,28.774,51,43,1.186,1.0781,20.85
R0000129,2025-01-07 16:47:00,South,Economy,15,1,0.174,0.69,22.486,62.59,34,39,0.8718,1.0,36.18
R0000130,2025-04-02 09:27:00,Airport,Comfort,13,0,0.534,1.001,8.554,31.425,55,50,1.1,1.042,30.2
R0000131,2025-03-04 10:48:00,Tech Park,Economy,13,1,1.411,1.263,10.546,35.91,59,37,1.5946,1.2497,30.72
R0000132,2025-07-17 02:40:00,North,Comfort,2,0,0.47,1.067,11.438,36.064,42,45,0.9333,1.0,30.05
R0000133,2025-11-09 14:34:00,South,Economy,13,0,1.395,1.192,4.139,16.877,47,49,0.9592,1.0,12.45
R0000134,2025-04-14 23:08:00,Airport,Economy,19,1,1.504,1.697,7.222,28.488,78,38,2.0526,1.4421,31.81
R0000135,2025-07-06 01:47:00,Tech Park,Economy,7,1,0.368,1.513,7.102,22.415,74,29,2.5517,1.6517,27.65
R0000136,2025-04-29 06:42:00,North,Economy,14,1,0.357,0.964,2.414,11.359,61,38,1.6053,1.2542,12.18
R0000137,2025-05-28 09:52:00,South,Economy,0,0,0.483,1.214,11.988,38.345,39,30,1.3,1.126,29.96
R0000138,2025-03-19 00:13:00,Central,Comfort,8,1,0.613,1.66,4.653,20.996,80,61,1.3115,1.1308,20.92
R0000139,2025-01-14 15:23:00,Central,Economy,10,0,0.545,2.218,11.289,47.04,69,54,1.2778,1.1167,37.27
R0000140,2025-03-05 19:40:00,North,Economy,23,0,0.669,1.061,5.12,19.232,47,30,1.5667,1.238,16.37
R0000141,2025-08-01 23:55:00,University,Premium,5,0,0.397,1.15,23.883,73.318,52,34,1.5294,1.2224,99.81
R0000142,2025-05-14 12:23:00,Central,Economy,6,1,0.153,0.972,6.664,17.329,66,33,2.0,1.42,16.45
R0000143,2025-09-02 11:45:00,Tech Park,Economy,9,0,2.562,1.951,22.346,85.605,95,40,2.375,1.5775,105.51
R0000144,2025-04-30 11:41:00,Airport,Economy,23,1,0.313,1.338,7.064,26.161,52,44,1.1818,1.0764,22.07
R0000145,2025-02-16 22:55:00,Tech Park,Economy,20,0,0.067,1.742,7.543,26.903,61,46,1.3261,1.137,22.62
R0000146,2025-05-23 19:34:00,Central,Premium,0,1,1.132,0.888,18.387,52.623,68,46,1.4783,1.2009,72.64
R0000147,2025-08-29 17:20:00,North,Premium,5,0,0.193,0.851,4.69,9.633,29,41,0.7073,1.0,13.79
R0000148,2025-03-21 13:19:00,Central,Economy,19,1,1.038,1.712,7.984,29.147,79,41,1.9268,1.3893,30.16
R0000149,2025-12-15 03:28:00,Airport,Premium,1,0,0.298,0.96,10.451,28.707,55,55,1.0,1.0,37.16
R0000150,2025-10-25 23:29:00,Central,Economy,20,0,2.943,1.808,9.7,37.431,82,32,2.5625,1.6562,51.91
R0000151,2025-07-20 07:58:00,Central,Premium,6,0,1.879,1.359,7.954,27.73,44,47,0.9362,1.0,36.74
R0000152,2025-11-27 15:58:00,South,Comfort,22,0,0.505,0.753,7.375,21.372,39,33,1.1818,1.0764,20.24
R0000153,2025-03-23 23:21:00,University,Economy,7,0,0.953,1.744,12.373,48.121,65,35,1.8571,1.36,44.19
R0000154,2025-11-07 21:17:00,North,Economy,10,0,0.792,1.824,8.561,32.854,65,40,1.625,1.2625,32.03
R0000155,2025-10-09 07:57:00,University,Comfort,15,0,0.286,1.208,13.217,42.597,28,36,0.7778,1.0,36.41
R0000156,2025-10-04 12:14:00,North,Economy,3,0,1.098,1.172,9.636,31.559,40,49,0.8163,1.0,23.31
R0000157,2025-02-24 14:41:00,Airport,Economy,13,0,0.664,1.391,11.107,36.124,56,44,1.2727,1.1145,28.14
R0000158,2025-09-19 01:41:00,Central,Economy,12,1,0.753,1.195,14.49,48.107,71,51,1.3922,1.1647,37.71
R0000159,2025-03-14 17:44:00,North,Economy,18,0,1.022,1.886,6.55,23.413,59,38,1.5526,1.2321,26.54
R0000160,2025-09-16 12:43:00,Central,Economy,23,1,0.559,0.968,14.276,43.442,70,36,1.9444,1.3967,40.74
R0000161,2025-09-29 07:35:00,University,Economy,15,1,0.246,1.318,7.126,26.773,45,42,1.0714,1.03,15.35
R0000162,2025-05-04 23:51:00,Tech Park,Comfort,9,0,0.953,1.721,3.595,11.872,86,41,2.0976,1.461,20.55
R0000163,2025-11-14 08:18:00,South,Economy,9,1,1.181,2.046,6.481,23.108,76,43,1.7674,1.3223,28.09
R0000164,2025-01-30 19:52:00,North,Economy,10,0,1.186,2.008,5.22,18.814,58,39,1.4872,1.2046,15.73
R0000165,2025-04-24 05:01:00,North,Economy,19,0,1.208,1.814,9.549,39.794,71,35,2.0286,1.432,40.06
R0000166,2025-09-16 23:39:00,South,Economy,7,0,0.851,1.776,6.638,23.79,66,28,2.3571,1.57,30.53
R0000167,2025-07-21 19:46:00,Central,Comfort,4,0,0.073,0.981,8.334,22.891,47,27,1.7407,1.3111,28.3
R0000168,2025-10-28 17:34:00,Central,Economy,8,0,3.0,1.943,13.569,52.529,98,45,2.1778,1.4947,67.22
R0000169,2025-07-25 11:01:00,Central,Comfort,0,0,1.174,1.318,17.587,51.271,68,43,1.5814,1.2442,60.45
R0000170,2025-08-22 13:29:00,Central,Economy,2,1,0.421,1.174,9.125,27.209,57,43,1.3256,1.1367,24.23
R0000171,2025-09-28 02:08:00,Tech Park,Comfort,2,0,1.323,0.947,14.113,44.9,56,45,1.2444,1.1027,43.6
R0000172,2025-12-06 16:17:00,Airport,Economy,18,0,0.167,1.565,7.047,23.219,54,40,1.35,1.147,17.62
R0000173,2025-03-03 07:35:00,Central,Comfort,17,1,1.044,1.894,3.288,12.96,88,51,1.7255,1.3047,19.16
R0000174,2025-09-14 19:57:00,University,Economy,16,0,0.468,1.348,4.061,15.125,31,45,0.6889,1.0,12.15
R0000175,2025-01-30 08:46:00,University,Premium,11,0,0.179,1.163,6.975,23.342,42,41,1.0244,1.0102,28.31
R0000176,2025-05-30 14:00:00,North,Economy,17,1,0.175,1.308,12.032,38.376,57,30,1.9,1.378,36.52
R0000177,2025-09-25 06:41:00,North,Economy,3,0,0.908,0.974,6.986,22.806,28,47,0.5957,1.0,19.66
R0000178,2025-08-26 12:13:00,Tech Park,Economy,21,0,1.006,1.669,14.913,56.406,78,36,2.1667,1.49,59.71
R0000179,2025-12-13 06:48:00,Airport,Economy,12,0,0.227,1.293,21.272,66.146,28,33,0.8485,1.0,38.01
R0000180,2025-09-14 15:47:00,North,Economy,22,1,0.474,0.976,4.766,14.158,40,57,0.7018,1.0,9.74
R0000181,2025-12-15 22:06:00,Airport,Comfort,3,0,0.831,1.34,24.995,80.98,57,44,1.2955,1.1241,80.11
R0000182,2025-10-10 12:12:00,North,Comfort,11,0,0.36,0.953,3.161,12.079,28,43,0.6512,1.0,14.2
R0000183,2025-10-28 06:24:00,University,Economy,16,0,2.668,1.576,21.474,74.363,49,56,0.875,1.0,60.05
R0000184,2025-12-01 19:59:00,Tech Park,Premium,11,0,0.918,0.996,7.626,23.31,41,41,1.0,1.0,27.34
R0000185,2025-12-03 12:31:00,University,Economy,10,0,0.561,1.616,6.834,21.489,62,38,1.6316,1.2653,19.8
R0000186,2025-01-21 08:55:00,Tech Park,Economy,3,1,1.49,1.065,7.734,21.859,66,39,1.6923,1.2908,21.61
R0000187,2025-03-29 03:53:00,South,Comfort,9,1,0.987,1.987,5.003,20.631,66,33,2.0,1.42,31.54
R0000188,2025-06-04 00:37:00,Tech Park,Economy,5,0,0.838,1.026,17.741,52.205,56,51,1.098,1.0412,35.22
R0000189,2025-01-11 04:29:00,South,Economy,7,0,0.934,1.44,5.309,18.127,68,42,1.619,1.26,16.68
R0000190,2025-11-12 03:53:00,North,Economy,16,0,1.199,0.923,5.695,17.506,37,56,0.6607,1.0,12.4
R0000191,2025-03-08 03:13:00,Central,Economy,15,0,0.325,1.043,3.638,17.335,46,53,0.8679,1.0,12.22
R0000192,2025-02-08 22:47:00,South,Economy,14,0,0.046,0.926,5.197,15.15,40,51,0.7843,1.0,11.45
R0000193,2025-08-10 09:06:00,Central,Economy,8,0,1.592,1.953,5.285,24.16,77,49,1.5714,1.24,23.28
R0000194,2025-06-06 17:03:00,North,Economy,23,0,0.666,1.078,5.093,19.497,42,45,0.9333,1.0,14.8
R0000195,2025-07-12 08:36:00,Central,Comfort,2,0,0.395,1.281,7.052,25.404,55,45,1.2222,1.0933,28.63
R0000196,2025-01-31 01:24:00,South,Premium,8,0,0.244,1.525,4.208,13.714,62,44,1.4091,1.1718,21.71
R0000197,2025-12-19 07:32:00,Central,Economy,2,0,0.208,1.222,18.671,59.476,57,49,1.1633,1.0686,40.62
R0000198,2025-08-21 21:16:00,Central,Economy,8,0,0.733,1.511,7.142,24.451,92,43,2.1395,1.4786,24.46
R0000199,2025-02-07 13:39:00,North,Economy,23,1,0.608,0.839,9.542,32.297,47,51,0.9216,1.0,22.88
R0000200,2025-10-30 02:12:00,Central,Economy,8,1,1.506,1.673,12.478,45.727,103,34,3.0294,1.8524,61.99
R0000201,2025-03-20 14:06:00,University,Economy,21,1,1.026,1.532,23.658,80.33,65,28,2.3214,1.555,88.8
R0000202,2025-01-14 18:00:00,North,Economy,11,1,1.181,0.989,12.813,42.467,47,35,1.3429,1.144,37.46
R0000203,2025-01-07 02:13:00,Central,Comfort,16,0,1.443,1.334,6.778,22.307,80,44,1.8182,1.3436,29.29
R0000204,2025-01-19 18:50:00,Airport,Economy,10,1,0.769,1.641,4.306,17.546,85,37,2.2973,1.5449,20.68
R0000205,2025-04-01 01:03:00,Tech Park,Comfort,6,0,2.077,1.399,9.355,33.352,62,31,2.0,1.42,49.58
R0000206,2025-04-12 11:55:00,South,Comfort,18,0,0.306,1.7,13.933,50.962,58,40,1.45,1.189,50.79
R0000207,2025-05-27 19:03:00,North,Comfort,23,0,1.419,0.952,8.399,25.28,34,49,0.6939,1.0,24.72
R0000208,2025-10-30 16:28:00,Central,Economy,6,0,0.045,1.111,8.052,27.45,46,41,1.122,1.0512,18.42
R0000209,2025-05-15 21:31:00,Tech Park,Comfort,18,0,0.05,1.342,8.736,27.987,78,50,1.56,1.2352,30.36
R0000210,2025-11-08 11:58:00,University,Comfort,6,0,0.161,0.925,2.778,11.829,43,44,0.9773,1.0,8.13
R0000211,2025-01-18 11:05:00,North,Economy,17,0,0.563,1.311,8.42,27.522,56,43,1.3023,1.127,22.99
R0000212,2025-12-31 07:30:00,Central,Economy,18,1,0.037,1.674,11.62,44.803,76,39,1.9487,1.3985,47.48
R0000213,2025-07-31 06:22:00,Airport,Comfort,10,0,0.545,1.344,7.575,27.986,67,29,2.3103,1.5503,38.7
R0000214,2025-07-25 05:24:00,Airport,Economy,17,0,0.419,1.409,14.41,49.512,60,39,1.5385,1.2262,36.38
R0000215,2025-04-12 03:18:00,Tech Park,Economy,6,1,2.846,1.309,14.677,47.724,67,44,1.5227,1.2195,48.36
R0000216,2025-10-24 01:34:00,University,Economy,1,0,0.111,0.997,5.888,20.984,41,47,0.8723,1.0,12.72
R0000217,2025-01-21 23:10:00,University,Comfort,2,0,0.704,1.098,9.904,32.305,42,37,1.1351,1.0568,30.58
R0000218,2025-08-03 21:14:00,Tech Park,Economy,10,0,1.006,1.877,7.953,23.417,83,37,2.2432,1.5222,28.09
